rank;Mountain name(s);Height_m;Height_ft;Prominence_m;Prominence_ft;Range;latitude;longitude;Parent mountain;ascents_first;ascents_before_2004_successful;ascents_before_2004_unsuccessful;country
104;Rimo III;7233;23730;613;2011;Rimo Karakoram;35.37527778;77.36166667;Rimo I;1985;1;0;India
105;Langtang Lirung;7227;23711;1534;5033;Langtang Himalaya;28.25611111;85.51694444;Shishapangma;1978;14;13;Nepal
106;Karjiang;7221;23691;895;2936;Kula Kangri Himalaya;28.2575;90.64694444;Kula Kangri;unclimbed;0;2;China
107;Annapurna Dakshin (Annapurna South);7219;23684;769;2523;Annapurna Himalaya;28.51833333;83.80611111;Annapurna;1964;10;16;Nepal
108;Khartaphu;7213;23665;712;2336;Mahalangur Himalaya;28.06361111;86.9775;Mount Everest;1935;1;0;China
109;Tongshanjiabu[19];7207;23645;1757;5764;Lunana Himalaya;28.18666667;89.9575;Gangkhar Puensum;unclimbed;0;0;Bhutan China
110;Malangutti Sar;7207;23645;507;1663;Hispar Karakoram;36.36305556;75.14916667;Distaghil Sar;1985;1;0;Pakistan
111;Noijin Kangsang Norin Kang;7206;23642;2160;7090;Nagarze Himalaya;28.94666667;90.17833333;Gangkhar Puensum;1986;4;1;China
112;Langtang Ri;7205;23638;665;2182;Langtang Himalaya;28.38138889;85.68361111;Shishapangma;1981;4;0;Nepal China
113;Kangphu Kang Shimokangri;7204;23635;1244;4081;Lunana Himalaya;28.15666667;90.07083333;Tongshanjiabu;2002;1;0;Bhutan China
114;Singhi Kangri;7202;23629;730;2400;Siachen Karakoram;35.59972222;76.98361111;Teram Kangri III;1976;2;0;India China
115;Lupghar Sar;7200;23600;730;2400;Hispar Karakoram;36.35027778;75.03694444;Momhil Sar;1979;1;0;Pakistan
